Entry,wormbase CDS,Entry name,fragment,Status,Protein names,Gene names,Organism,Length,Taxonomic lineage (ALL),Glycosylation,Transmembrane,Cross-reference (PDB),Sequence uncertainty,Sequence conflict,Sequence caution,Disulfide bond,Cross-reference (Pfam),Cross-reference (GeneID),Cross-reference (UniGene),Cross-reference (RefSeq),Cross-reference (GenBank),Cross-reference (WormBase)
O76554,T26H10.1a,ACH4_CAEEL,Err:504,reviewed,Acetylcholine receptor subunit alpha-type des-2,des-2 acr-4 T26H10.1,Caenorhabditis elegans,548,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 52 52 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 96 96 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 224 224 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 240 260 Helical. {ECO:0000255}.; TRANSMEM 274 294 Helical. {ECO:0000255}.; TRANSMEM 301 321 Helical. {ECO:0000255}.; TRANSMEM 517 537 Helical. {ECO:0000255}.,,,,,,PF02931;PF02932;,179574;,Cel.19736;,NP_001256320.1;,,T26H10.1a;
Q18007,C15B12.5a,ACM1_CAEEL,Err:504,reviewed,Probable muscarinic acetylcholine receptor gar-1 (G-protein-linked acetylcholine receptor 1),gar-1 C15B12.5,Caenorhabditis elegans,713,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 3 3 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 21 41 Helical; Name=1. {ECO:0000250}.; TRANSMEM 67 87 Helical; Name=2. {ECO:0000250}.; TRANSMEM 102 122 Helical; Name=3. {ECO:0000250}.; TRANSMEM 145 165 Helical; Name=4. {ECO:0000250}.; TRANSMEM 190 210 Helical; Name=5. {ECO:0000250}.; TRANSMEM 634 656 Helical; Name=6. {ECO:0000250}.; TRANSMEM 671 693 Helical; Name=7. {ECO:0000250}.,,,,,DISULFID 99 180 {ECO:0000255|PROSITE-ProRule:PRU00521}.,PF00001;,180922;,Cel.19523;,NP_001024401.1;NP_001024402.1;NP_001024403.1;,,C15B12.5a;C15B12.5b;C15B12.5c;
Q9U7D5,Y40H4A.1a,ACM3_CAEEL,Err:504,reviewed,Muscarinic acetylcholine receptor gar-3 (G-protein-linked acetylcholine receptor 3),gar-3 Y40H4A.1,Caenorhabditis elegans,611,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 28 28 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 33 33 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 68 88 Helical; Name=1. {ECO:0000250}.; TRANSMEM 102 122 Helical; Name=2. {ECO:0000250}.; TRANSMEM 141 161 Helical; Name=3. {ECO:0000250}.; TRANSMEM 182 202 Helical; Name=4. {ECO:0000250}.; TRANSMEM 228 248 Helical; Name=5. {ECO:0000250}.; TRANSMEM 526 546 Helical; Name=6. {ECO:0000250}.; TRANSMEM 558 578 Helical; Name=7. {ECO:0000250}.,,,,,DISULFID 138 218 {ECO:0000255|PROSITE-ProRule:PRU00521}.,PF00001;,179962;,Cel.19494;,NP_001024235.1;NP_001024236.1;,,Y40H4A.1a;Y40H4A.1b;
Q9N4M4,ZK973.6,ANC1_CAEEL,Err:504,reviewed,Nuclear anchorage protein 1 (Anchorage 1 protein) (Nesprin homolog),anc-1 ZK973.6,Caenorhabditis elegans,8545,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 8495 8513 Helical; Anchor for type IV membrane protein. {ECO:0000255|PROSITE-ProRule:PRU00385}.,,,CONFLICT 7849 7849 K -> N (in Ref. 1; DAA04553). {ECO:0000305}.,,,PF00307;PF10541;,172034;,Cel.22568;,NP_491353.2;,,ZK973.6;
Q93235,C17E4.9,AT1B1_CAEEL,Err:504,reviewed,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),nkb-1 C17E4.9,Caenorhabditis elegans,320,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans","CARBOHYD 140 140 N-linked (GlcNAc...). {ECO:0000269|PubMed:12754521, ECO:0000269|PubMed:15888633, ECO:0000269|PubMed:17761667}.",TRANSMEM 52 72 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 176 190 {ECO:0000250}.; DISULFID 228 285 {ECO:0000250}.,PF00287;,182726;,Cel.19226;,NP_492506.1;,,C17E4.9;
P51559,K04F10.4a,BLI4_CAEEL,Err:504,reviewed,Endoprotease bli-4 (EC 3.4.21.-) (Blisterase) (Blistered cuticle protein 4),bli-4 kpc-4 K04F10.4,Caenorhabditis elegans,943,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 195 195 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 873 893 Helical. {ECO:0000255}.,,,CONFLICT 153 153 A -> R (in Ref. 2; CCD70035/CCD70036/CCD70037/CCD70038/CCD70039). {ECO:0000305}.; CONFLICT 346 346 S -> R (in Ref. 2; CCD70035/CCD70036/CCD70037/CCD70038/CCD70039). {ECO:0000305}.,,DISULFID 258 407 {ECO:0000250}.; DISULFID 350 380 {ECO:0000250}.; DISULFID 498 527 {ECO:0000250}.,PF01483;PF00082;,172333;,Cel.38646;,NP_001021540.1;NP_001021541.1;NP_001021542.1;NP_001021543.1;NP_001021544.1;,,K04F10.4a;K04F10.4b;K04F10.4c;K04F10.4d;K04F10.4e;
Q09969,C14F5.1a,BNIP3_CAEEL,Err:504,reviewed,NIP3 homolog (CeBNIP3) (Daf-16/FOXO controlled germline tumor affecting),dct-1 C14F5.1,Caenorhabditis elegans,221,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 189 209 Helical. {ECO:0000255}.,,,,,,PF06553;,181053;,Cel.11376;,NP_509339.4;NP_509340.2;,,C14F5.1a;C14F5.1b;
Q9GUM2,Y73E7A.7a,BRE4_CAEEL,Err:504,reviewed,"Beta-1,4-N-acetylgalactosaminyltransferase bre-4 (EC 2.4.1.-) (Bacillus thuringiensis toxin-resistant protein 4) (Bt toxin-resistant protein 4) (Beta-4-GalNAcT)",bre-4 Y73E7A.7,Caenorhabditis elegans,383,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 37 37 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 71 71 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 81 81 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 97 97 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 191 191 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 7 29 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 103 144 {ECO:0000250|UniProtKB:P08037}.; DISULFID 215 234 {ECO:0000250|UniProtKB:P08037}.,PF02709;PF13733;,190668;,Cel.9283;,NP_001293407.1;NP_490872.1;,,Y73E7A.7a;Y73E7A.7b;
P34616,ZK112.7,CADH3_CAEEL,Err:504,reviewed,Cadherin-3,cdh-3 ZK112.7,Caenorhabditis elegans,3343,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 22 22 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 149 149 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 250 250 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 288 288 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 369 369 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 467 467 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 612 612 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 752 752 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 806 806 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 941 941 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 966 966 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 970 970 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 985 985 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1042 1042 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1335 1335 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1425 1425 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1429 1429 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1557 1557 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1563 1563 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1597 1597 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1624 1624 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1695 1695 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1702 1702 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1895 1895 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1900 1900 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2053 2053 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2129 2129 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2203 2203 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2382 2382 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2391 2391 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2410 2410 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2414 2414 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2431 2431 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2527 2527 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2530 2530 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2564 2564 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2621 2621 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2665 2665 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2712 2712 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2798 2798 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2809 2809 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2927 2927 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2976 2976 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3045 3045 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3222 3222 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3225 3225 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 3229 3250 Helical. {ECO:0000255}.,,,,,DISULFID 3172 3205 {ECO:0000255|PROSITE-ProRule:PRU00122}.,PF00028;PF02210;,176085;,Cel.9582;,NP_498687.1;,,ZK112.7;
Q19319,F25F2.2a,CADH4_CAEEL,Err:504,reviewed,Cadherin-4,cdh-4 F25F2.2,Caenorhabditis elegans,4292,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans","CARBOHYD 39 39 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 56 56 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 196 196 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 330 330 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 339 339 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 365 365 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 431 431 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 452 452 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 584 584 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 811 811 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 899 899 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1192 1192 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 1335 1335 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1610 1610 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 1895 1895 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2059 2059 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2150 2150 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2216 2216 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2367 2367 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2377 2377 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2404 2404 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2499 2499 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2808 2808 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 2880 2880 N-linked (GlcNAc...). {ECO:0000269|PubMed:12754521, ECO:0000269|PubMed:17761667}.; CARBOHYD 2905 2905 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3047 3047 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3107 3107 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3294 3294 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3476 3476 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 3691 3691 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 4007 4007 N-linked (GlcNAc...). {ECO:0000255}.",TRANSMEM 4037 4057 Helical. {ECO:0000255}.,,,,,DISULFID 3674 3685 {ECO:0000250}.; DISULFID 3679 3696 {ECO:0000250}.; DISULFID 3698 3707 {ECO:0000250}.; DISULFID 3862 3889 {ECO:0000250}.; DISULFID 3897 3908 {ECO:0000250}.; DISULFID 3902 3918 {ECO:0000250}.; DISULFID 3920 3929 {ECO:0000250}.; DISULFID 3936 3947 {ECO:0000250}.; DISULFID 3941 3956 {ECO:0000250}.; DISULFID 3958 3967 {ECO:0000250}.,PF00028;PF02210;,175590;,Cel.10567;,NP_001254917.1;NP_001254918.1;,,F25F2.2a;F25F2.2b;
